index,esfera,agent,label
1,Comunidad,Víctima,Profesora
2,Estado Fuerza,Agresor,Policías
3,Estado Fuerza,Agresor,PIP
4,Estado Funcionarios,Agresor,Camuflado
5,Estado Funcionarios,Agresor,Agente
6,Comunidad,Víctima,Vecinas
7,Estado Funcionarios,Agresor,Señor
8,Estado Funcionarios,Agresor,Oficial 
9,Comunidad,Víctima,Presos
10,Comunidad,Víctima,Cadáveres
11,Comunidad,Víctima,Señoritas
12,Estado Fuerza,Agresor,Encapuchados
13,Terroristas,Agresor,Senderistas
14,Comunidad,Víctima,Agricultor
15,Estado Funcionarios,Agresor,Compinches
16,Terroristas,Agresor,Terroristas
17,Terroristas,Agresor,SL
18,Comunidad,Víctima,Pasajeros
19,Comunidad,Víctima,Transeúntes
20,Comunidad,Víctima,Civiles
21,Comunidad,Víctima,Criatura
22,Comunidad,Víctima,Jóvenes
23,Comunidad,Víctima,Viudas
24,Iglesia,Amigo,Pastor
25,Comunidad,Víctima,Vecinos
26,Comunidad,Víctima,Profesor
27,Estado Fuerza,Agresor,Patrullero
28,Comunidad,Víctima,Niños
29,Iglesia,Amigo,Obispo
30,Organización No Lucrativa,Externo,OndaAzul
31,Organización Privada,Externo,Emisora
32,Organización Política,Externo,IzquierdaUnida
33,Organización Política,Externo,AccionPopular
34,Estado Funcionarios,Agresor,Senador
35,Organización Política,Externo,FENATRACA
36,Iglesia,Amigo,Curas
37,Iglesia,Amigo,Monjas
38,Estado Fuerza,Agresor,Paramilitares
39,Organización Política,Externo,Comunistas
40,Organización Política,Externo,Secretaria
41,Organización Política,Externo,PPC
42,Organización Política,Externo,Apristas
43,Comunidad,Víctima,TESIRA
44,Comunidad,Víctima,Universidad
45,Comunidad,Víctima,Federación
46,Comunidad,Víctima,Corresponsales
47,Organización Política,Externo,CONDECOREC
48,Comunidad,Víctima,Productores
49,Estado Funcionarios,Agresor,DefensaCivil
50,Comunidad,Víctima,Autodefensa
51,Comunidad,Víctima,Poblados
52,Organización Política,Externo,HaturaKatariAyllu 
53,Organización Política,Externo,Frentesamplios
54,Comunidad,Víctima,Retornantes
55,Estado Fuerza,Agresor,PAR
56,Estado Funcionarios,Agresor,FONCODES
57,Organización Privada,Externo,Periodistas
58,Estado Fuerza,Agresor,FuerzasArmadas
59,Comunidad,Víctima,Indios
60,Organización No Lucrativa,Externo,Internacional
61,Estado Funcionarios,Agresor,Instituto
62,Estado Fuerza,Agresor,BoinasVerdes
63,Estado Fuerza,Agresor,Sinchis
64,Estado Funcionarios,Agresor,Marina
65,Estado Fuerza,Agresor,FAP
66,Comunidad,Víctima,Difunto
67,Comunidad,Víctima,Comerciantes
68,Comunidad,Víctima,Teniente
69,Comunidad,Víctima,afectados
70,Estado Funcionarios,Agresor,congresistas
71,Estado Funcionarios,Agresor,diputados
72,Comunidad,Víctima,pobres
73,Terroristas,Agresor,ricos
74,Estado Fuerza,Agresor,policía
75,Comunidad,Víctima,pueblo
76,Terroristas,Agresor,sendero
77,Terroristas,Agresor,tucos
78,Estado Funcionarios,Agresor,bandos
79,Comunidad,Víctima,nosotros
80,Iglesia,Amigo,católicos
81,Familia ,Víctima,familiares
82,Comunidad,Víctima,desplazado
83,Familia ,Víctima,hermanos
