name,code,region,district,centro_pob
01 .::. Amazonas,1,7,84,2816
0101 .::. Chachapoyas,101,,21,661
010101 .::. Chachapoyas,10101,,,28
010102 .::. Asuncion,10102,,,8
010103 .::. Balsas,10103,,,24
010104 .::. Cheto,10104,,,14
010105 .::. Chiliquin,10105,,,41
010106 .::. Chuquibamba,10106,,,25
010107 .::. Granada,10107,,,11
010108 .::. Huancas,10108,,,4
010109 .::. La Jalca,10109,,,108
010110 .::. Leimebamba,10110,,,62
010111 .::. Levanto,10111,,,30
010112 .::. Magdalena,10112,,,31
010113 .::. Mariscal Castilla,10113,,,60
010114 .::. Molinopampa,10114,,,27
010115 .::. Montevideo,10115,,,7
010116 .::. Olleros,10116,,,12
010117 .::. Quinjalca,10117,,,37
010118 .::. San Francisco De Daguas,10118,,,17
010119 .::. San Isidro De Maino,10119,,,91
010120 .::. Soloco,10120,,,12
010121 .::. Sonche,10121,,,12
0102 .::. Bagua,102,,6,298
010201 .::. Bagua,10201,,,15
010202 .::. Aramango,10202,,,88
010203 .::. Copallin,10203,,,34
010204 .::. El Parco,10204,,,9
010205 .::. Imaza,10205,,,121
010206 .::. La Peca,10206,,,31
0103 .::. Bongará,103,,12,258
010301 .::. Jumbilla,10301,,,23
010302 .::. Chisquilla,10302,,,24
010303 .::. Churuja,10303,,,8
010304 .::. Corosha,10304,,,24
010305 .::. Cuispes,10305,,,25
010306 .::. Florida,10306,,,32
010307 .::. Jazan,10307,,,20
010308 .::. Recta,10308,,,13
010309 .::. San Carlos,10309,,,15
010310 .::. Shipasbamba,10310,,,13
010311 .::. Valera,10311,,,14
010312 .::. Yambrasbamba,10312,,,47
0104 .::. Condorcanqui,104,,3,254
010401 .::. Nieva,10401,,,131
010402 .::. El Cenepa,10402,,,59
010403 .::. Rio Santiago,10403,,,64
0105 .::. Luya,105,,23,588
010501 .::. Lamud,10501,,,30
010502 .::. Camporredondo,10502,,,41
010503 .::. Cocabamba,10503,,,70
010504 .::. Colcamar,10504,,,18
010505 .::. Conila,10505,,,19
010506 .::. Inguilpata,10506,,,19
010507 .::. Longuita,10507,,,19
010508 .::. Lonya Chico,10508,,,10
010509 .::. Luya,10509,,,16
010510 .::. Luya Viejo,10510,,,1
010511 .::. Maria,10511,,,14
010512 .::. Ocalli,10512,,,21
010513 .::. Ocumal,10513,,,32
010514 .::. Pisuquia,10514,,,78
010515 .::. Providencia,10515,,,20
010516 .::. San Cristobal,10516,,,3
010517 .::. San Francisco Del Yeso,10517,,,22
010518 .::. San Jeronimo,10518,,,28
010519 .::. San Juan De Lopecancha,10519,,,15
010520 .::. Santa Catalina,10520,,,11
010521 .::. Santo Tomas,10521,,,73
010522 .::. Tingo,10522,,,22
010523 .::. Trita,10523,,,6
0106 .::. Rodríguez de Mendoza,106,,12,290
010601 .::. San Nicolas,10601,,,33
010602 .::. Chirimoto,10602,,,38
010603 .::. Cochamal,10603,,,12
010604 .::. Huambo,10604,,,35
010605 .::. Limabamba,10605,,,37
010606 .::. Longar,10606,,,29
010607 .::. Mariscal Benavides,10607,,,9
010608 .::. Milpuc,10608,,,7
010609 .::. Omia,10609,,,60
010610 .::. Santa Rosa,10610,,,13
010611 .::. Totora,10611,,,6
010612 .::. Vista Alegre,10612,,,11
0107 .::. Utcubamba,107,,7,467
010701 .::. Bagua Grande,10701,,,102
010702 .::. Cajaruro,10702,,,125
010703 .::. Cumba,10703,,,55
010704 .::. El Milagro,10704,,,18
010705 .::. Jamalca,10705,,,55
010706 .::. Lonya Grande,10706,,,73
010707 .::. Yamon,10707,,,39
02 .::. Áncash,2,20,166,7245
0201 .::. Huaraz,201,,12,875
020101 .::. Huaraz,20101,,,144
020102 .::. Cochabamba,20102,,,83
020103 .::. Colcabamba,20103,,,18
020104 .::. Huanchay,20104,,,125
020105 .::. Independencia,20105,,,118
020106 .::. Jangas,20106,,,33
020107 .::. La Libertad,20107,,,65
020108 .::. Olleros,20108,,,30
020109 .::. Pampas,20109,,,109
020110 .::. Pariacoto,20110,,,42
020111 .::. Pira,20111,,,70
020112 .::. Tarica,20112,,,38
0202 .::. Aija,202,,5,252
020201 .::. Aija,20201,,,50
020202 .::. Coris,20202,,,75
020203 .::. Huacllan,20203,,,15
020204 .::. La Merced,20204,,,72
020205 .::. Succha,20205,,,40
0203 .::. Antonio Raymondi,203,,6,260
020301 .::. Llamellin,20301,,,57
020302 .::. Aczo,20302,,,37
020303 .::. Chaccho,20303,,,44
020304 .::. Chingas,20304,,,40
020305 .::. Mirgas,20305,,,59
020306 .::. San Juan De Rontoy,20306,,,23
0204 .::. Asunción,204,,2,124
020401 .::. Chacas,20401,,,57
020402 .::. Acochaca,20402,,,67
0205 .::. Bolognesi,205,,15,597
020501 .::. Chiquian,20501,,,39
020502 .::. Abelardo Pardo Lezameta,20502,,,9
020503 .::. Antonio Raymondi,20503,,,15
020504 .::. Aquia,20504,,,94
020505 .::. Cajacay,20505,,,58
020506 .::. Canis,20506,,,4
020507 .::. Colquioc,20507,,,34
020508 .::. Huallanca,20508,,,119
020509 .::. Huasta,20509,,,79
020510 .::. Huayllacayan,20510,,,70
020511 .::. La Primavera,20511,,,10
020512 .::. Mangas,20512,,,13
020513 .::. Pacllon,20513,,,23
020514 .::. San Miguel De Corpanqui,20514,,,7
020515 .::. Ticllos,20515,,,23
0206 .::. Carhuaz,206,,11,318
020601 .::. Carhuaz,20601,,,78
020602 .::. Acopampa,20602,,,17
020603 .::. Amashca,20603,,,13
020604 .::. Anta,20604,,,45
020605 .::. Ataquero,20605,,,27
020606 .::. Marcara,20606,,,44
