,ubigeo
0,0101010001
1,0101010002
2,0101010003
3,0101010004
4,0101010005
5,0101010006
6,0101010007
7,0101010008
8,0101010009
9,0101010010
10,0101010011
11,0101010012
12,0101010013
13,0101010014
14,0101010015
15,0101010016
16,0101010017
17,0101010018
18,0101010019
19,0101010020
20,0101010021
21,0101010022
22,0101010023
23,0101010024
24,0101010025
25,0101010026
26,0101010027
27,0101010028
28,0101020001
29,0101020002
30,0101020003
31,0101020004
32,0101020005
33,0101020006
34,0101020007
35,0101020008
36,0101030001
37,0101030002
38,0101030003
39,0101030004
40,0101030005
41,0101030006
42,0101030007
43,0101030008
44,0101030009
45,0101030010
46,0101030011
47,0101030012
48,0101030013
49,0101030014
50,0101030015
51,0101030016
52,0101030017
53,0101030018
54,0101030019
55,0101030020
56,0101030021
57,0101030022
58,0101030023
59,0101030024
60,0101040001
61,0101040002
62,0101040003
63,0101040004
64,0101040005
65,0101040006
66,0101040007
67,0101040008
68,0101040009
69,0101040010
70,0101040011
71,0101040012
72,0101040013
73,0101040014
74,0101050001
75,0101050002
76,0101050003
77,0101050004
78,0101050005
79,0101050006
80,0101050007
81,0101050008
82,0101050009
83,0101050010
84,0101050011
85,0101050012
86,0101050013
87,0101050014
88,0101050015
89,0101050016
90,0101050017
91,0101050018
92,0101050019
93,0101050020
94,0101050021
95,0101050022
96,0101050023
97,0101050024
98,0101050025
99,0101050026
100,0101050027
101,0101050028
102,0101050029
103,0101050030
104,0101050031
105,0101050032
106,0101050033
107,0101050034
108,0101050035
109,0101050036
110,0101050037
111,0101050038
112,0101050039
113,0101050040
114,0101050041
115,0101060001
116,0101060002
117,0101060003
118,0101060004
119,0101060005
120,0101060006
121,0101060007
122,0101060008
123,0101060009
124,0101060010
125,0101060011
126,0101060012
127,0101060013
128,0101060014
129,0101060015
130,0101060016
131,0101060017
132,0101060018
133,0101060019
134,0101060020
135,0101060021
136,0101060022
137,0101060023
138,0101060024
139,0101060025
140,0101070001
141,0101070002
142,0101070003
143,0101070004
144,0101070005
145,0101070006
146,0101070007
147,0101070008
148,0101070009
149,0101070010
150,0101070011
151,0101080001
152,0101080002
153,0101080003
154,0101080004
155,0101090001
156,0101090002
157,0101090003
158,0101090004
159,0101090005
160,0101090006
161,0101090007
162,0101090008
163,0101090009
164,0101090010
165,0101090011
166,0101090012
167,0101090013
168,0101090014
169,0101090015
170,0101090016
171,0101090017
172,0101090018
173,0101090019
174,0101090020
175,0101090021
176,0101090022
177,0101090023
178,0101090024
179,0101090025
180,0101090026
181,0101090027
182,0101090028
183,0101090029
184,0101090030
185,0101090031
186,0101090032
187,0101090033
188,0101090034
189,0101090035
190,0101090036
191,0101090037
192,0101090038
193,0101090039
194,0101090040
195,0101090041
196,0101090042
197,0101090043
198,0101090044
199,0101090045
200,0101090046
201,0101090047
202,0101090048
203,0101090049
204,0101090050
205,0101090051
206,0101090052
207,0101090053
208,0101090054
209,0101090055
210,0101090056
211,0101090057
212,0101090058
213,0101090059
214,0101090060
215,0101090061
216,0101090062
217,0101090063
218,0101090064
219,0101090065
220,0101090066
221,0101090067
222,0101090068
223,0101090069
224,0101090070
225,0101090071
226,0101090072
227,0101090073
228,0101090074
229,0101090075
230,0101090076
231,0101090077
232,0101090078
233,0101090079
234,0101090080
235,0101090081
236,0101090082
237,0101090083
238,0101090084
239,0101090085
240,0101090086
241,0101090087
242,0101090088
243,0101090089
244,0101090090
245,0101090091
246,0101090092
247,0101090093
248,0101090094
249,0101090095
250,0101090096
251,0101090097
252,0101090098
253,0101090099
254,0101090100
255,0101090101
256,0101090102
