,word,freq
149,hijo,1.0
109,casa,0.68042071197411
78,padre,0.6383495145631068
120,persona,0.6318770226537217
13,hermano,0.5752427184466019
173,día,0.4813915857605178
79,momento,0.46763754045307443
103,hecho,0.46440129449838186
90,año,0.44902912621359226
12,esposo,0.4441747572815534
166,ustedes,0.43851132686084143
115,ahora,0.42475728155339804
54,señores,0.4085760517799353
153,familia,0.3940129449838188
171,papá,0.37783171521035597
100,pueblo,0.3616504854368932
155,bien,0.3592233009708738
14,cosa,0.35841423948220064
163,dos,0.35436893203883496
35,vida,0.35194174757281554
179,Bueno,0.35032362459546923
156,mamá,0.34951456310679613
21,testimonio,0.3365695792880259
118,policía,0.32362459546925565
113,madre,0.31715210355987056
180,toda,0.3106796116504854
182,ver,0.3042071197411003
8,tiempo,0.2977346278317152
40,luego,0.2961165048543689
112,digo,0.2928802588996764
123,decía,0.2912621359223301
189,hija,0.28883495145631066
44,hacer,0.28559870550161814
108,pasado,0.2815533980582524
165,creo,0.2766990291262136
164,usted,0.27346278317152106
15,aquí,0.27103559870550165
67,va,0.2702265372168285
133,cómo,0.26779935275080907
174,Muchas gracias,0.26618122977346276
61,parte,0.2621359223300971
106,muerto,0.2621359223300971
121,vamos,0.2605177993527508
3,gente,0.2588996763754045
99,solamente,0.2524271844660194
73,siempre,0.2524271844660194
94,voy,0.25080906148867316
188,Dio,0.2483818770226537
190,sé,0.24676375404530745
22,comunidad,0.2459546925566343
142,militares,0.2459546925566343
114,Lima,0.2459546925566343
59,ser,0.24514563106796117
28,hermana,0.24433656957928804
10,trabajo,0.23381877022653721
127,quiero,0.22815533980582525
31,dijeron,0.2273462783171521
85,caso,0.22491909385113268
132,terrorista,0.22411003236245955
63,carro,0.22249190938511326
192,nombre,0.22006472491909385
191,nunca,0.21925566343042072
110,poder,0.2111650485436893
177,hombre,0.21035598705501618
137,ido,0.20792880258899676
158,todavía,0.20064724919093851
144,kay,0.1982200647249191
39,llevaron,0.1982200647249191
36,veces,0.1982200647249191
74,sino,0.19579288025889968
87,justicia,0.19579288025889968
176,mismo,0.19498381877022652
50,niño,0.1941747572815534
16,decir,0.1941747572815534
178,menos,0.19174757281553398
169,Ejército,0.18770226537216828
72,dónde,0.18608414239482202
98,dolor,0.18608414239482202
154,vez,0.18527508090614886
58,decían,0.18527508090614886
56,país,0.18446601941747573
46,dicho,0.18284789644012944
117,diciendo,0.18122977346278318
157,nadie,0.18042071197411003
151,dentro,0.1755663430420712
30,Derechos Humano,0.17475728155339806
139,tres,0.17475728155339806
71,hacia,0.17071197411003236
193,miedo,0.16990291262135923
68,noche,0.16666666666666666
105,repente,0.1650485436893204
185,favor,0.1650485436893204
7,mañana,0.16423948220064724
19,Hinaptinmi,0.1634304207119741
107,mano,0.16262135922330098
20,puerta,0.1610032362459547
70,iba,0.15614886731391586
170,hace,0.1553398058252427
11,pasó,0.1553398058252427
26,lado,0.15453074433656958
24,violencia,0.15453074433656958
53,venido,0.1529126213592233
181,llevado,0.15210355987055016
45,esposa,0.15210355987055016
167,puede,0.15210355987055016
194,detenido,0.15129449838187703
1,visto,0.1488673139158576
62,autoridades,0.1464401294498382
27,llegar,0.1464401294498382
104,podía,0.1448220064724919
95,familiares,0.1448220064724919
196,Perú,0.1448220064724919
195,solo,0.1448220064724919
122,tan,0.14401294498381878
32,allí,0.14401294498381878
135,allá,0.14401294498381878
